"CCODE" "COUNTRY" "YEAR" "RENT" "NETOIL" "INCOME" "INCOMENO" "REGIONPO" "REGIONFH" "MUSLIM" "DEMSCORE" "POLITY" "POPULATI" "ELF85D" "ELF85G" "CATHOLIC" "PROTESTA" "ECONFREE" "GDPPC" "GDPPP" "TRADE" "GEO"
"75" 760 "Bhutan" 1999 0 NA 7.07327 1180 8.500002 5.571429 0.053 1 1.2 13.56929 0.563 0.563 0 0 NA NA NA NA "Asia"
"76" 145 "Bolivia" 1995 0.227 0.014 7.511525 1829 NA NA 0 8 11.4 15.81888 0.74 0.499 0.889 0.061 3.16 947.7885 2265.805 49.73799 "Latin America"
"77" 145 "Bolivia" 1996 0.185 0.013 7.531016 1865 9.845454 8.5 0 9 11.4 15.84208 0.74 0.499 0.889 0.061 2.56 967.6645 2287.939 49.85629 "Latin America"
"78" 145 "Bolivia" 1997 0.195 0 7.555905 1912 10.06364 8.8125 0 10 11.4 15.86539 0.74 0.499 0.889 0.061 2.51 994.0576 2356.471 50.46966 "Latin America"
"79" 145 "Bolivia" 1998 0.177 0 7.586296 1971 10.09091 8.78125 0 10 11.4 15.88868 0.74 0.499 0.889 0.061 2.61 1022.31 2409.441 52.28116 "Latin America"
"80" 145 "Bolivia" 1999 0.202 NA 7.568896 1937 10.09091 8.84375 0 10 10.8 15.91206 0.74 0.499 0.889 0.061 2.61 1005.561 2381.084 44.16825 "Latin America"
"81" 346 "Bosnia and Herzegovina" 1995 NA NA NA NA NA NA 0.6 2 NA 15.04369 0.701 0.701 0.172 0.001 NA 389.9711 2116.34 91.87961 "Europe"
"82" 346 "Bosnia and Herzegovina" 1996 NA NA NA NA NA 10.24444 0.6 4 NA 15.07809 0.701 0.701 0.172 0.001 NA 738.6445 3790.926 107.5001 "Europe"
"83" 346 "Bosnia and Herzegovina" 1997 NA NA NA NA NA 10.2 0.6 4 NA 15.11056 0.701 0.701 0.172 0.001 NA 970.7151 4888.549 100.631 "Europe"
"84" 346 "Bosnia and Herzegovina" 1998 NA NA NA NA NA 10.24444 0.6 4 NA 15.14205 0.701 0.701 0.172 0.001 4.61 1082.042 4731.544 102.6308 "Europe"
"85" 346 "Bosnia and Herzegovina" 1999 NA NA NA NA NA 10.28889 0.6 4 NA 15.17161 0.701 0.701 0.172 0.001 4.61 1144.331 5108.498 85.25887 "Europe"
"86" 571 "Botswana" 1995 0.669 NA 7.805067 2453 NA NA 0.002 10 11.4 14.19395 0.399 0.397 0.038 0.115 3.33 2396.401 5792.712 89.00098 "Africa"
"87" 571 "Botswana" 1996 0.728 NA 7.847763 2560 5.967567 4.847826 0.002 10 11.4 14.21831 0.399 0.397 0.038 0.115 3.04 2477.673 6279.193 91.9265 "Africa"
"88" 571 "Botswana" 1997 0.684 NA 7.862497 2598 5.969231 4.869565 0.002 10 11.4 14.24274 0.399 0.397 0.038 0.115 3.05 2596.844 6413.639 97.40918 "Africa"
"89" 571 "Botswana" 1998 NA NA 7.878534 2640 5.745 4.782609 0.002 10 11.4 14.2613 0.399 0.397 0.038 0.115 2.9 2706.095 6343.105 96.62724 "Africa"
"90" 571 "Botswana" 1999 NA NA 7.90581 2713 5.691892 5.130435 0.002 10 11.4 14.27806 0.399 0.397 0.038 0.115 2.91 2811.865 7121.904 98.46375 "Africa"
"91" 140 "Brazil" 1995 0 0 8.367764 4306 NA NA 0.001 8 10.8 18.88659 0.576 0.576 0.906 0.173 3.41 3337.816 6940.168 17.21327 "Latin America"
"92" 140 "Brazil" 1996 0 0 8.381831 4367 9.87273 8.5 0.001 8 10.8 18.90004 0.576 0.576 0.906 0.173 3.61 3376.811 7021.147 16.29955 "Latin America"
"93" 140 "Brazil" 1997 0 0 8.399985 4447 10.09091 8.84375 0.001 7 10.8 18.9133 0.576 0.576 0.906 0.173 3.33 3436.191 7176.148 17.66051 "Latin America"
"94" 140 "Brazil" 1998 0 0 8.385945 4385 10.11818 8.875 0.001 7 10.8 18.92638 0.576 0.576 0.906 0.173 3.41 3388.468 7099.744 17.24974 "Latin America"
"95" 140 "Brazil" 1999 0 0 8.381145 4364 10.11818 8.9375 0.001 7 10.8 18.93928 0.576 0.576 0.906 0.173 3.24 3365.274 7137.28 22.10699 "Latin America"
"96" 355 "Bulgaria" 1995 0 NA 8.605753 5463 NA NA 0.117 10 10.8 15.94374 0.225 0.225 0.009 0.009 3.56 1564.887 6027.068 91.00409 "Europe"
"97" 355 "Bulgaria" 1996 0 0 8.504107 4935 10.75385 10.06667 0.117 9 10.8 15.93849 0.225 0.225 0.009 0.009 3.5 1425.253 5527.899 105.4452 "Europe"
"98" 355 "Bulgaria" 1997 0 0 8.436417 4612 10.63077 10.08889 0.117 9 10.8 15.93322 0.225 0.225 0.009 0.009 3.53 1352.55 5216.024 111.934 "Europe"
"99" 355 "Bulgaria" 1998 0 NA 8.47762 4806 10.73846 10.13333 0.117 9 10.8 15.92657 0.225 0.225 0.009 0.009 3.65 1416.033 5399.238 93.90039 "Europe"
"100" 355 "Bulgaria" 1999 0 NA 8.507143 4950 10.75385 10.17778 0.117 9 11.4 15.92062 0.225 0.225 0.009 0.009 3.44 1457.25 5505.585 94.88702 "Europe"
"101" 439 "Burkina Faso" 1995 0 NA 6.214608 500 NA NA 0.483 5 3 16.1169 0.712 0.712 0.092 0.063 NA 214.4224 931.5052 39.4655 "Africa"
"102" 439 "Burkina Faso" 1996 0 NA 6.249975 518 6.194592 4.956522 0.483 5 3 16.14035 0.712 0.712 0.092 0.063 3.91 223.4879 964.5318 36.11803 "Africa"
"103" 439 "Burkina Faso" 1997 0 NA 6.270988 529 6.184614 4.978261 0.483 5 3.6 16.16436 0.712 0.712 0.092 0.063 3.76 228.8852 991.1185 35.59976 "Africa"
"104" 439 "Burkina Faso" 1998 0 NA 6.306275 548 5.94 4.891304 0.483 5 5.4 16.18859 0.712 0.712 0.092 0.063 3.75 225.0023 974.4589 41.48482 "Africa"
"105" 439 "Burkina Faso" 1999 0 NA 6.338594 566 5.854054 5.23913 0.483 6 5.4 16.21301 0.712 0.712 0.092 0.063 3.58 233.4469 1011.916 36.12865 "Africa"
"106" 516 "Burundi" 1995 0 NA 6.102559 447 NA NA 0.013 1 NA 15.63294 0.313 0.077 0.587 0.106 NA 116.4757 685.1746 40.20462 "Africa"
"107" 516 "Burundi" 1996 0 NA 5.993961 401 NA 5.043478 0.013 0 3 15.65401 0.313 0.077 0.587 0.106 NA 105.7843 624.2049 20.82342 "Africa"
"108" 516 "Burundi" 1997 0 NA 5.976351 394 6.184614 5.086957 0.013 0 3 15.67459 0.313 0.077 0.587 0.106 4.2 105.416 620.5248 24.19007 "Africa"
"109" 516 "Burundi" 1998 0 NA 6.003887 405 5.955 5 0.013 1 4.2 15.6947 0.313 0.077 0.587 0.106 4.38 109.6069 642.8478 27.93213 "Africa"
"110" 516 "Burundi" 1999 0 NA 5.97381 393 5.886487 5.326087 0.013 2 4.8 15.71432 0.313 0.077 0.587 0.106 4.2 107.331 633.5763 26.99062 "Africa"
"111" 811 "Cambodia" 1995 NA NA NA NA NA NA 0.023 2 6.6 16.18532 0.238 0.238 0.002 0.002 NA 225.5733 1436.788 77.7269 "Asia"
"112" 811 "Cambodia" 1996 NA NA NA NA 6.640002 4.625 0.023 2 6.6 16.2105 0.238 0.238 0.002 0.002 NA 231.6379 1487.299 69.24977 "Asia"
"113" 811 "Cambodia" 1997 NA NA NA NA 6.72 5 0.023 1 1.8 16.2347 0.238 0.238 0.002 0.002 3.68 238.9623 1515.517 79.06121 "Asia"
"114" 811 "Cambodia" 1998 NA NA NA NA 6.760002 4.9375 0.023 2 7.2 16.25768 0.238 0.238 0.002 0.002 3.29 245.2418 1566.286 75.62891 "Asia"
"115" 811 "Cambodia" 1999 NA NA NA NA 6.880002 5.1875 0.023 2 7.2 16.27993 0.238 0.238 0.002 0.002 3.18 270.1441 1740.879 93.95492 "Asia"
"116" 471 "Cameroon" 1995 0.219 0.057 6.827629 923 NA NA 0.212 2 3.6 16.39436 0.879 0.876 0.259 0.187 3.51 529.3786 1666.15 46.33596 "Africa"
"117" 471 "Cameroon" 1996 0.274 0.049 6.849066 943 6.17838 5.021739 0.212 2 3.6 16.4218 0.879 0.876 0.259 0.187 4.08 542.7798 1705.684 42.98602 "Africa"
"118" 471 "Cameroon" 1997 0.241 NA 6.872128 965 6.16923 5.043478 0.212 2 3.6 16.44901 0.879 0.876 0.259 0.187 3.95 557.5807 1755.922 47.69392 "Africa"
"119" 471 "Cameroon" 1998 0.159 NA 6.893656 986 5.94 4.956522 0.212 2 3.6 16.47598 0.879 0.876 0.259 0.187 3.96 572.9443 1779.886 51.60113 "Africa"
"120" 471 "Cameroon" 1999 0.298 NA 6.909753 1002 5.902703 5.304348 0.212 1 3.6 16.50271 0.879 0.876 0.259 0.187 3.65 585.5387 1813.066 49.07977 "Africa"
"121" 20 "Canada" 1995 0 0.02 9.769842 17498 NA NA 0.009 12 12 17.19494 0.769 0.769 0.422 0.175 2.05 19861.55 23565.93 72.27872 "Northern America"
"122" 20 "Canada" 1996 0 0.023 9.77429 17576 10.72308 10.02222 0.009 12 12 17.20572 0.769 0.769 0.422 0.175 2.03 19965.12 23662.08 73.61466 "Northern America"
"123" 20 "Canada" 1997 0 0.021 9.806646 18154 10.6 10.02222 0.009 12 12 17.21628 0.769 0.769 0.422 0.175 2.13 20593.76 24340 77.96276 "Northern America"
"124" 20 "Canada" 1998 0 0.018 9.830541 18593 10.70769 10.06667 0.009 12 12 17.22491 0.769 0.769 0.422 0.175 2.14 21249.45 25154.99 81.89337 "Northern America"
"125" 20 "Canada" 1999 0 0.02 9.867393 19291 10.72308 10.11111 0.009 12 12 17.23295 0.769 0.769 0.422 0.175 2.09 22256.63 26373.25 83.71688 "Northern America"
"126" 482 "Central African Republic" 1995 NA 0 6.298949 544 NA NA 0.155 7 9.6 15.00579 0.826 0.765 0.17 0.137 NA 248.7834 1140.687 48.07903 "Africa"
"127" 482 "Central African Republic" 1996 NA 0 6.238325 512 6.016218 4.913043 0.155 6 9.6 15.02569 0.826 0.765 0.17 0.137 NA 233.3661 1071.07 38.3625 "Africa"
"128" 482 "Central African Republic" 1997 NA NA 6.270988 529 6.015384 4.956522 0.155 6 9.6 15.04462 0.826 0.765 0.17 0.137 NA 240.4221 1098.997 44.44697 "Africa"
"129" 482 "Central African Republic" 1998 NA NA 6.298949 544 5.79 4.869565 0.155 7 9.6 15.06259 0.826 0.765 0.17 0.137 NA 246.6473 1129.938 42.2551 "Africa"
"130" 482 "Central African Republic" 1999 NA NA 6.315358 553 5.740541 5.195652 0.155 7 9.6 15.07958 0.826 0.765 0.17 0.137 NA 250.7945 1142.515 25.71045 "Africa"
"131" 483 "Chad" 1995 0 NA 5.846439 346 NA NA 0.585 3 3.6 15.71866 0.856 0.82 0.064 0.102 NA 176.8735 862.9322 56.54596 "Africa"
"132" 483 "Chad" 1996 0 NA 5.840641 344 6.17838 5 0.585 3 4.8 15.74612 0.856 0.82 0.064 0.102 NA 175.7554 858.2301 46.65042 "Africa"
"133" 483 "Chad" 1997 0 NA 5.857933 350 6.138462 5.021739 0.585 3 4.8 15.77358 0.856 0.82 0.064 0.102 4.24 177.8902 867.8563 50.45454 "Africa"
"134" 483 "Chad" 1998 0 NA 5.897154 364 5.91 4.934783 0.585 4 4.8 15.80104 0.856 0.82 0.064 0.102 4.19 182.7218 881.8028 49.49618 "Africa"
"135" 483 "Chad" 1999 0 NA 5.860786 351 5.87027 5.26087 0.585 3 4.8 15.82849 0.856 0.82 0.064 0.102 4.01 175.9724 849.4811 46.18026 "Africa"
"136" 155 "Chile" 1995 0.114 0 8.670944 5831 NA NA 0 10 10.8 16.46948 0.515 0.165 0.779 0.025 2.6 4294.521 7998.74 59.27743 "Latin America"
"137" 155 "Chile" 1996 0.059 0 8.727941 6173 9.87273 8.4375 0 10 10.8 16.48404 0.515 0.165 0.779 0.025 2.56 4542.831 8437.553 59.64523 "Latin America"
"138" 155 "Chile" 1997 0.059 0 8.785233 6537 10.09091 8.78125 0 10 10.8 16.49807 0.515 0.165 0.779 0.025 2.26 4774.085 8813.583 51.98949 "Latin America"
"139" 155 "Chile" 1998 0.017 0 8.804925 6667 10.11818 8.78125 0 9 10.8 16.5116 0.515 0.165 0.779 0.025 2.1 4862.432 8901.371 51.06106 "Latin America"
"140" 155 "Chile" 1999 0.017 NA 8.780787 6508 10.11818 8.875 0 10 10.2 16.52475 0.515 0.165 0.779 0.025 2.13 4763.945 8730.607 54.15829 "Latin America"
"141" 710 "China" 1995 0 0 7.622664 2044 NA NA 0.016 0 1.8 20.90963 0.131 0.131 0.005 0.001 3.78 657.9955 2734.095 43.9357 "Asia"
"142" 710 "China" 1996 0 0 7.703459 2216 6.96 4.75 0.016 0 1.8 20.92011 0.131 0.131 0.005 0.001 3.78 716.2484 2971.178 38.05735 "Asia"
"143" 710 "China" 1997 0 0 7.778212 2388 7.039998 5.125 0.016 0 1.8 20.93034 0.131 0.131 0.005 0.001 3.73 774.8881 3204.75 39.01264 "Asia"
"144" 710 "China" 1998 0 0 7.843456 2549 6.760002 5 0.016 1 1.8 20.94013 0.131 0.131 0.005 0.001 3.69 827.3523 3438.34 36.39325 "Asia"
